ID,xCoord,yCoord
0466,2846,2330
0470,2800,3408
1882,2330,2846
0171,2846,2330
1506,2800,3408
1582,3408,2800
0304,2967,2342
0185,2581,2970
1404,2330,2386
1723,3408,2800
1649,2330,2846
0576,2846,2330
1367,2800,3408
1069,1730,2396
0175,2330,2846
0373,3408,2800
1251,2846,2330
0401,2229,2846
1928,3095,2078
0510,2846,2330
1504,3408,2800
1606,2330,2846
0170,2846,2330
0113,2330,2846
0386,2846,2330
1982,3408,2800
0586,2846,2330
0756,2846,2330
1788,2846,2330
0978,2846,2330
1126,2846,2330
0409,3408,2800
1148,2954,2445
1001,2846,2330
1098,2846,2330
0405,2803,2626
1694,2409,2174
0553,2846,2330
1405,2846,2330
0723,2330,2846
0938,2846,2330
1275,2205,2557
1847,3408,2800
0383,1884,2076
1063,2800,3408
1109,2972,2998
0348,2846,2051
0227,3408,2800
0966,2330,2846
0247,2330,2846
0198,2846,2330
1855,3408,2800
0044,2180,2800
1893,2846,2330
0989,2846,2330
0598,2846,2330
1309,2655,3368
1990,2349,2800
0948,2800,3408
0789,2846,2330
0075,2846,2330
1496,2846,2330
1813,2330,2846
0802,2695,2519
1936,2846,2330
0917,2846,2330
1837,3408,2800
1872,2846,2330
0026,2688,2372
0541,2846,2330
1116,2846,2330
1110,3408,2800
0666,2330,2846
0629,2846,2330
1295,3384,2800
0344,3408,2800
0734,2979,2501
1812,2800,3408
0961,2983,2963
1686,2846,2330
0298,2979,2741
0204,3408,2800
1450,2846,2330
1156,2800,3263
1941,2206,2830
1082,2219,2330
1776,3408,2800
0038,2800,3384
0735,2330,2651
1647,2330,2846
0730,3408,2800
1105,2800,3120
1991,2776,3328
0067,2846,2330
1425,2846,2330
0901,2626,2330
0757,2846,2330
1883,3408,2800
1641,2846,2158
1964,3408,2800
1968,2846,2330
0865,2846,2330
0960,2846,2330
0173,2330,2846
0929,2839,2330
1230,2846,2330
1335,2846,2083
0081,3408,2621
1052,3408,2800
0804,2330,2846
1852,2726,2232
1904,2814,2655
0606,3408,2800
0866,2978,2980
0137,3408,2800
0078,2846,2330
0536,2846,2330
1799,2846,2330
0087,3007,2800
0159,2330,2619
1307,2330,2846
0246,2979,2410
1552,3408,2800
1625,2595,2237
0253,2846,2123
1563,2846,2330
0998,2846,2330
0882,3408,2800
0626,2009,2064
1719,2330,2846
1193,2846,2033
1609,2846,2330
0068,2800,3408
1163,2800,3408
1353,3408,2800
1720,3408,2800
0461,2846,2330
0485,2846,2171
0131,2330,2846
0483,2846,2330
0933,2846,2330
0391,3408,2800
0274,2846,2330
1742,3408,2800
0555,2846,2330
1072,2800,3408
0983,2846,2330
1017,2846,2330
1290,3408,2800
0672,2417,2800
1099,2846,2330
1447,2846,2330
0727,2846,2330
0165,2846,2330
0711,2846,2330
1888,2979,2972
1937,3408,2800
1574,2846,2330
1517,2978,2907
1923,2846,2330
0534,3000,2372
0027,2846,2330
1146,2800,3408
0109,2330,2846
0790,2720,2225
0879,2391,2670
1361,3408,2800
1139,2846,2330
1473,3408,2800
1771,2978,2783
1594,2846,2330
0451,3000,2522
0107,2846,2330
0384,2846,2330
0813,3408,2800
1730,3408,2800
0388,2984,2830
0477,2330,2529
0389,2166,2153
1535,2846,2330
1441,2846,2330
1920,3408,2800
1820,2330,2846
1123,3408,2800
1167,2389,2330
1182,2932,3001
0430,2846,2330
1381,3408,2800
1149,2800,3408
1451,2409,2224
1318,3408,2800
1084,2846,2330
1022,2846,2330
0474,2846,2330
1172,2591,3408
0284,3032,2677
1247,3408,2800
1229,2846,2330
0753,2846,2330
0186,3408,2800
1977,2846,2265
1841,1654,2846
1336,2712,2372
0180,2220,3000
1197,3408,2800
1277,2800,2389
1825,3408,2800
0055,2330,2672
0331,2846,2125
0647,3408,2679
0910,2846,2330
0084,2330,2846
1406,2330,2846
1023,2846,2330
0926,2317,2330
1273,2979,2989
1956,2846,2330
1705,2800,3408
1674,2846,2330
0132,3408,2800
1298,2846,2330
0583,2846,2330
1013,2846,2087
1693,1828,2679
1816,2846,2330
0868,2846,2330
1154,2846,2166
0821,2330,2846
1604,2701,2330
0793,2800,3408
0218,2846,2330
0272,3408,2800
0750,2330,2846
1938,2846,2330
1826,3408,2800
1831,2846,2330
1749,3000,2372
1417,2846,2330
0184,2846,2330
1876,2846,2330
0722,2306,2143
1409,3408,2800
1856,2992,2981
1476,2846,2119
0111,2330,2846
0242,3408,2800
1976,2330,2846
0486,2800,3328
1932,2800,2901
0301,2795,2262
0773,2565,2006
1333,2171,2330
0944,2846,2330
1044,2846,2330
1601,2846,2330
0414,2846,2330
1560,3408,2800
1354,3408,2800
0796,2846,2330
0569,2846,2330
1195,2846,1934
0189,2979,2977
1700,3408,2800
1027,2846,2313
1743,2846,2330
0120,2846,2330
0614,2372,2968
1740,3408,2800
0235,3338,2800
1243,2431,2565
0509,2846,2330
1571,2372,2978
0630,2846,2202
0995,2846,1866
1317,2330,2846
0324,2349,2165
1520,2846,2330
1293,2846,2330
0533,2984,2350
0321,3408,2800
1523,2755,2372
1239,2359,2372
1352,2846,2330
1440,2846,2330
1198,2330,2773
1061,2800,3408
0794,3408,2800
1209,2983,2890
0592,2846,2330
1095,2716,2036
0058,2846,2330
1368,3408,2800
1271,2846,2330
1590,2372,2871
0782,2800,3408
0880,2846,2330
0478,2655,3408
0663,2846,2330
0597,2846,2330
0988,2846,2330
1215,2386,2800
1158,2846,2330
0034,2846,2330
0936,2774,2809
0311,2372,3000
1059,2846,2330
1724,2646,2330
1268,2846,2154
1043,2484,2330
1556,2183,2330
1568,2679,3223
0106,2846,2330
0052,2846,2079
0103,3408,2800
0229,2846,2330
1967,2846,2330
1918,2361,2962
1633,2846,2330
0312,1855,2330
1957,3408,2800
0653,2800,3408
1334,2979,2361
1640,2298,2261
